t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t0.058; p1, -0.497947, 0.040957, 0; p2, 0.497947, -0.040957, 0; p3, 0, 0, 0
t0.059; p1, -0.497877, 0.0416612, 0; p2, 0.497877, -0.0416612, 0; p3, 0, 0, 0
t0.06; p1, -0.497805, 0.0423653, 0; p2, 0.497805, -0.0423653, 0; p3, 0, 0, 0
t0.061; p1, -0.497732, 0.0430693, 0; p2, 0.497732, -0.0430693, 0; p3, 0, 0, 0
t0.062; p1, -0.497657, 0.0437732, 0; p2, 0.497657, -0.0437732, 0; p3, 0, 0, 0
t0.063; p1, -0.497582, 0.044477, 0; p2, 0.497582, -0.044477, 0; p3, 0, 0, 0
t0.064; p1, -0.497505, 0.0451807, 0; p2, 0.497505, -0.0451807, 0; p3, 0, 0, 0
t0.065; p1, -0.497427, 0.0458843, 0; p2, 0.497427, -0.0458843, 0; p3, 0, 0, 0
t0.066; p1, -0.497348, 0.0465877, 0; p2, 0.497348, -0.0465877, 0; p3, 0, 0, 0
t0.067; p1, -0.497267, 0.0472911, 0; p2, 0.497267, -0.0472911, 0; p3, 0, 0, 0
t0.068; p1, -0.497186, 0.0479943, 0; p2, 0.497186, -0.0479943, 0; p3, 0, 0, 0
t0.069; p1, -0.497103, 0.0486974, 0; p2, 0.497103, -0.0486974, 0; p3, 0, 0, 0
t0.07; p1, -0.497019, 0.0494004, 0; p2, 0.497019, -0.0494004, 0; p3, 0, 0, 0
t0.071; p1, -0.496934, 0.0501033, 0; p2, 0.496934, -0.0501033, 0; p3, 0, 0, 0
t0.072; p1, -0.496848, 0.0508061, 0; p2, 0.496848, -0.0508061, 0; p3, 0, 0, 0
t0.073; p1, -0.49676, 0.0515087, 0; p2, 0.49676, -0.0515087, 0; p3, 0, 0, 0
t0.074; p1, -0.496672, 0.0522113, 0; p2, 0.496672, -0.0522113, 0; p3, 0, 0, 0
t0.075; p1, -0.496582, 0.0529137, 0; p2, 0.496582, -0.0529137, 0; p3, 0, 0, 0
t0.076; p1, -0.496491, 0.0536159, 0; p2, 0.496491, -0.0536159, 0; p3, 0, 0, 0
t0.077; p1, -0.496398, 0.0543181, 0; p2, 0.496398, -0.0543181, 0; p3, 0, 0, 0
t0.078; p1, -0.496305, 0.0550201, 0; p2, 0.496305, -0.0550201, 0; p3, 0, 0, 0
t0.079; p1, -0.49621, 0.0557219, 0; p2, 0.49621, -0.0557219, 0; p3, 0, 0, 0
t0.08; p1, -0.496114, 0.0564237, 0; p2, 0.496114, -0.0564237, 0; p3, 0, 0, 0
t0.081; p1, -0.496017, 0.0571253, 0; p2, 0.496017, -0.0571253, 0; p3, 0, 0, 0
