t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t11.423; p1, 0.327872, -0.153751, 0; p2, -0.327872, 0.153751, 0; p3, 0, 0, 0
t11.424; p1, 0.327511, -0.15466, 0; p2, -0.327511, 0.15466, 0; p3, 0, 0, 0
t11.425; p1, 0.327148, -0.155569, 0; p2, -0.327148, 0.155569, 0; p3, 0, 0, 0
t11.426; p1, 0.326783, -0.156476, 0; p2, -0.326783, 0.156476, 0; p3, 0, 0, 0
t11.427; p1, 0.326416, -0.157382, 0; p2, -0.326416, 0.157382, 0; p3, 0, 0, 0
t11.428; p1, 0.326048, -0.158287, 0; p2, -0.326048, 0.158287, 0; p3, 0, 0, 0
t11.429; p1, 0.325677, -0.159192, 0; p2, -0.325677, 0.159192, 0; p3, 0, 0, 0
t11.43; p1, 0.325303, -0.160095, 0; p2, -0.325303, 0.160095, 0; p3, 0, 0, 0
t11.431; p1, 0.324928, -0.160997, 0; p2, -0.324928, 0.160997, 0; p3, 0, 0, 0
t11.432; p1, 0.324551, -0.161898, 0; p2, -0.324551, 0.161898, 0; p3, 0, 0, 0
t11.433; p1, 0.324172, -0.162798, 0; p2, -0.324172, 0.162798, 0; p3, 0, 0, 0
t11.434; p1, 0.323791, -0.163698, 0; p2, -0.323791, 0.163698, 0; p3, 0, 0, 0
t11.435; p1, 0.323408, -0.164596, 0; p2, -0.323408, 0.164596, 0; p3, 0, 0, 0
t11.436; p1, 0.323022, -0.165493, 0; p2, -0.323022, 0.165493, 0; p3, 0, 0, 0
t11.437; p1, 0.322635, -0.166389, 0; p2, -0.322635, 0.166389, 0; p3, 0, 0, 0
t11.438; p1, 0.322246, -0.167284, 0; p2, -0.322246, 0.167284, 0; p3, 0, 0, 0
t11.439; p1, 0.321854, -0.168178, 0; p2, -0.321854, 0.168178, 0; p3, 0, 0, 0
t11.44; p1, 0.321461, -0.169071, 0; p2, -0.321461, 0.169071, 0; p3, 0, 0, 0
t11.441; p1, 0.321066, -0.169963, 0; p2, -0.321066, 0.169963, 0; p3, 0, 0, 0
t11.442; p1, 0.320668, -0.170854, 0; p2, -0.320668, 0.170854, 0; p3, 0, 0, 0
t11.443; p1, 0.320269, -0.171743, 0; p2, -0.320269, 0.171743, 0; p3, 0, 0, 0
t11.444; p1, 0.319867, -0.172632, 0; p2, -0.319867, 0.172632, 0; p3, 0, 0, 0
t11.445; p1, 0.319464, -0.17352, 0; p2, -0.319464, 0.17352, 0; p3, 0, 0, 0
t11.446; p1, 0.319059, -0.174406, 0; p2, -0.319059, 0.174406, 0; p3, 0, 0, 0
t11.447; p1, 0.318651, -0.175292, 0; p2, -0.318651, 0.175292, 0; p3, 0, 0, 0
t11.448; p1, 0.318242, -0.176176, 0; p2, -0.318242, 0.176176, 0; p3, 0, 0, 0
t11.449; p1, 0.31783, -0.177059, 0; p2, -0.31783, 0.177059, 0; p3, 0, 0, 0
t11.45; p1, 0.317417, -0.177941, 0; p2, -0.317417, 0.177941, 0; p3, 0, 0, 0
t11.451; p1, 0.317002, -0.178822, 0; p2, -0.317002, 0.178822, 0; p3, 0, 0, 0
t11.452; p1, 0.316584, -0.179702, 0; p2, -0.316584, 0.179702, 0; p3, 0, 0, 0
t11.453; p1, 0.316165, -0.180581, 0; p2, -0.316165, 0.180581, 0; p3, 0, 0, 0
t11.454; p1, 0.315744, -0.181459, 0; p2, -0.315744, 0.181459, 0; p3, 0, 0, 0
t11.455; p1, 0.315321, -0.182335, 0; p2, -0.315321, 0.182335, 0; p3, 0, 0, 0
t11.456; p1, 0.314896, -0.183211, 0; p2, -0.314896, 0.183211, 0; p3, 0, 0, 0
t11.457; p1, 0.314469, -0.184085, 0; p2, -0.314469, 0.184085, 0; p3, 0, 0, 0
t11.458; p1, 0.31404, -0.184958, 0; p2, -0.31404, 0.184958, 0; p3, 0, 0, 0
t11.459; p1, 0.313609, -0.18583, 0; p2, -0.313609, 0.18583, 0; p3, 0, 0, 0
t11.46; p1, 0.313176, -0.186701, 0; p2, -0.313176, 0.186701, 0; p3, 0, 0, 0
t11.461; p1, 0.312741, -0.187571, 0; p2, -0.312741, 0.187571, 0; p3, 0, 0, 0
t11.462; p1, 0.312304, -0.188439, 0; p2, -0.312304, 0.188439, 0; p3, 0, 0, 0
t11.463; p1, 0.311865, -0.189307, 0; p2, -0.311865, 0.189307, 0; p3, 0, 0, 0
t11.464; p1, 0.311425, -0.190173, 0; p2, -0.311425, 0.190173, 0; p3, 0, 0, 0
t11.465; p1, 0.310982, -0.191038, 0; p2, -0.310982, 0.191038, 0; p3, 0, 0, 0
t11.466; p1, 0.310538, -0.191902, 0; p2, -0.310538, 0.191902, 0; p3, 0, 0, 0
t11.467; p1, 0.310091, -0.192764, 0; p2, -0.310091, 0.192764, 0; p3, 0, 0, 0
t11.468; p1, 0.309643, -0.193626, 0; p2, -0.309643, 0.193626, 0; p3, 0, 0, 0
t11.469; p1, 0.309193, -0.194486, 0; p2, -0.309193, 0.194486, 0; p3, 0, 0, 0
t11.47; p1, 0.30874, -0.195345, 0; p2, -0.30874, 0.195345, 0; p3, 0, 0, 0
t11.471; p1, 0.308286, -0.196203, 0; p2, -0.308286, 0.196203, 0; p3, 0, 0, 0
t11.472; p1, 0.30783, -0.19706, 0; p2, -0.30783, 0.19706, 0; p3, 0, 0, 0
t11.473; p1, 0.307373, -0.197915, 0; p2, -0.307373, 0.197915, 0; p3, 0, 0, 0
t11.474; p1, 0.306913, -0.198769, 0; p2, -0.306913, 0.198769, 0; p3, 0, 0, 0
t11.475; p1, 0.306451, -0.199622, 0; p2, -0.306451, 0.199622, 0; p3, 0, 0, 0
t11.476; p1, 0.305988, -0.200474, 0; p2, -0.305988, 0.200474, 0; p3, 0, 0, 0
t11.477; p1, 0.305522, -0.201325, 0; p2, -0.305522, 0.201325, 0; p3, 0, 0, 0
t11.478; p1, 0.305055, -0.202174, 0; p2, -0.305055, 0.202174, 0; p3, 0, 0, 0
t11.479; p1, 0.304586, -0.203022, 0; p2, -0.304586, 0.203022, 0; p3, 0, 0, 0
t11.48; p1, 0.304115, -0.203869, 0; p2, -0.304115, 0.203869, 0; p3, 0, 0, 0
t11.481; p1, 0.303642, -0.204715, 0; p2, -0.303642, 0.204715, 0; p3, 0, 0, 0
t11.482; p1, 0.303168, -0.205559, 0; p2, -0.303168, 0.205559, 0; p3, 0, 0, 0
t11.483; p1, 0.302691, -0.206402, 0; p2, -0.302691, 0.206402, 0; p3, 0, 0, 0
t11.484; p1, 0.302213, -0.207244, 0; p2, -0.302213, 0.207244, 0; p3, 0, 0, 0
t11.485; p1, 0.301733, -0.208084, 0; p2, -0.301733, 0.208084, 0; p3, 0, 0, 0
t11.486; p1, 0.301251, -0.208924, 0; p2, -0.301251, 0.208924, 0; p3, 0, 0, 0
t11.487; p1, 0.300767, -0.209762, 0; p2, -0.300767, 0.209762, 0; p3, 0, 0, 0
t11.488; p1, 0.300281, -0.210599, 0; p2, -0.300281, 0.210599, 0; p3, 0, 0, 0
t11.489; p1, 0.299794, -0.211434, 0; p2, -0.299794, 0.211434, 0; p3, 0, 0, 0
t11.49; p1, 0.299304, -0.212268, 0; p2, -0.299304, 0.212268, 0; p3, 0, 0, 0
t11.491; p1, 0.298813, -0.213101, 0; p2, -0.298813, 0.213101, 0; p3, 0, 0, 0
t11.492; p1, 0.29832, -0.213933, 0; p2, -0.29832, 0.213933, 0; p3, 0, 0, 0
t11.493; p1, 0.297825, -0.214763, 0; p2, -0.297825, 0.214763, 0; p3, 0, 0, 0
t11.494; p1, 0.297329, -0.215592, 0; p2, -0.297329, 0.215592, 0; p3, 0, 0, 0
t11.495; p1, 0.29683, -0.21642, 0; p2, -0.29683, 0.21642, 0; p3, 0, 0, 0
t11.496; p1, 0.29633, -0.217246, 0; p2, -0.29633, 0.217246, 0; p3, 0, 0, 0
t11.497; p1, 0.295828, -0.218071, 0; p2, -0.295828, 0.218071, 0; p3, 0, 0, 0
t11.498; p1, 0.295324, -0.218895, 0; p2, -0.295324, 0.218895, 0; p3, 0, 0, 0
t11.499; p1, 0.294819, -0.219718, 0; p2, -0.294819, 0.219718, 0; p3, 0, 0, 0
t11.5; p1, 0.294311, -0.220539, 0; p2, -0.294311, 0.220539, 0; p3, 0, 0, 0
t11.501; p1, 0.293802, -0.221358, 0; p2, -0.293802, 0.221358, 0; p3, 0, 0, 0
t11.502; p1, 0.293291, -0.222177, 0; p2, -0.293291, 0.222177, 0; p3, 0, 0, 0
t11.503; p1, 0.292779, -0.222994, 0; p2, -0.292779, 0.222994, 0; p3, 0, 0, 0
t11.504; p1, 0.292264, -0.22381, 0; p2, -0.292264, 0.22381, 0; p3, 0, 0, 0
t11.505; p1, 0.291748, -0.224624, 0; p2, -0.291748, 0.224624, 0; p3, 0, 0, 0
t11.506; p1, 0.29123, -0.225437, 0; p2, -0.29123, 0.225437, 0; p3, 0, 0, 0
t11.507; p1, 0.290711, -0.226249, 0; p2, -0.290711, 0.226249, 0; p3, 0, 0, 0
t11.508; p1, 0.290189, -0.227059, 0; p2, -0.290189, 0.227059, 0; p3, 0, 0, 0
t11.509; p1, 0.289666, -0.227868, 0; p2, -0.289666, 0.227868, 0; p3, 0, 0, 0
t11.51; p1, 0.289141, -0.228676, 0; p2, -0.289141, 0.228676, 0; p3, 0, 0, 0
t11.511; p1, 0.288614, -0.229482, 0; p2, -0.288614, 0.229482, 0; p3, 0, 0, 0
t11.512; p1, 0.288086, -0.230287, 0; p2, -0.288086, 0.230287, 0; p3, 0, 0, 0
t11.513; p1, 0.287556, -0.231091, 0; p2, -0.287556, 0.231091, 0; p3, 0, 0, 0
t11.514; p1, 0.287024, -0.231893, 0; p2, -0.287024, 0.231893, 0; p3, 0, 0, 0
t11.515; p1, 0.286491, -0.232694, 0; p2, -0.286491, 0.232694, 0; p3, 0, 0, 0
t11.516; p1, 0.285956, -0.233493, 0; p2, -0.285956, 0.233493, 0; p3, 0, 0, 0
t11.517; p1, 0.285419, -0.234291, 0; p2, -0.285419, 0.234291, 0; p3, 0, 0, 0
t11.518; p1, 0.28488, -0.235088, 0; p2, -0.28488, 0.235088, 0; p3, 0, 0, 0
t11.519; p1, 0.28434, -0.235883, 0; p2, -0.28434, 0.235883, 0; p3, 0, 0, 0
t11.52; p1, 0.283798, -0.236677, 0; p2, -0.283798, 0.236677, 0; p3, 0, 0, 0
t11.521; p1, 0.283254, -0.237469, 0; p2, -0.283254, 0.237469, 0; p3, 0, 0, 0
t11.522; p1, 0.282709, -0.23826, 0; p2, -0.282709, 0.23826, 0; p3, 0, 0, 0
t11.523; p1, 0.282162, -0.239049, 0; p2, -0.282162, 0.239049, 0; p3, 0, 0, 0
t11.524; p1, 0.281613, -0.239838, 0; p2, -0.281613, 0.239838, 0; p3, 0, 0, 0
t11.525; p1, 0.281062, -0.240624, 0; p2, -0.281062, 0.240624, 0; p3, 0, 0, 0
t11.526; p1, 0.28051, -0.24141, 0; p2, -0.28051, 0.24141, 0; p3, 0, 0, 0
t11.527; p1, 0.279957, -0.242193, 0; p2, -0.279957, 0.242193, 0; p3, 0, 0, 0
t11.528; p1, 0.279401, -0.242976, 0; p2, -0.279401, 0.242976, 0; p3, 0, 0, 0
t11.529; p1, 0.278844, -0.243757, 0; p2, -0.278844, 0.243757, 0; p3, 0, 0, 0
t11.53; p1, 0.278286, -0.244536, 0; p2, -0.278286, 0.244536, 0; p3, 0, 0, 0
t11.531; p1, 0.277725, -0.245314, 0; p2, -0.277725, 0.245314, 0; p3, 0, 0, 0
t11.532; p1, 0.277163, -0.246091, 0; p2, -0.277163, 0.246091, 0; p3, 0, 0, 0
t11.533; p1, 0.2766, -0.246866, 0; p2, -0.2766, 0.246866, 0; p3, 0, 0, 0
t11.534; p1, 0.276034, -0.24764, 0; p2, -0.276034, 0.24764, 0; p3, 0, 0, 0
t11.535; p1, 0.275468, -0.248412, 0; p2, -0.275468, 0.248412, 0; p3, 0, 0, 0
t11.536; p1, 0.274899, -0.249183, 0; p2, -0.274899, 0.249183, 0; p3, 0, 0, 0
t11.537; p1, 0.274329, -0.249953, 0; p2, -0.274329, 0.249953, 0; p3, 0, 0, 0
t11.538; p1, 0.273757, -0.25072, 0; p2, -0.273757, 0.25072, 0; p3, 0, 0, 0
t11.539; p1, 0.273184, -0.251487, 0; p2, -0.273184, 0.251487, 0; p3, 0, 0, 0
t11.54; p1, 0.272609, -0.252252, 0; p2, -0.272609, 0.252252, 0; p3, 0, 0, 0
t11.541; p1, 0.272033, -0.253015, 0; p2, -0.272033, 0.253015, 0; p3, 0, 0, 0
t11.542; p1, 0.271455, -0.253777, 0; p2, -0.271455, 0.253777, 0; p3, 0, 0, 0
t11.543; p1, 0.270875, -0.254538, 0; p2, -0.270875, 0.254538, 0; p3, 0, 0, 0
t11.544; p1, 0.270294, -0.255297, 0; p2, -0.270294, 0.255297, 0; p3, 0, 0, 0
t11.545; p1, 0.269711, -0.256054, 0; p2, -0.269711, 0.256054, 0; p3, 0, 0, 0
t11.546; p1, 0.269126, -0.256811, 0; p2, -0.269126, 0.256811, 0; p3, 0, 0, 0
t11.547; p1, 0.268541, -0.257565, 0; p2, -0.268541, 0.257565, 0; p3, 0, 0, 0
t11.548; p1, 0.267953, -0.258318, 0; p2, -0.267953, 0.258318, 0; p3, 0, 0, 0
t11.549; p1, 0.267364, -0.25907, 0; p2, -0.267364, 0.25907, 0; p3, 0, 0, 0
t11.55; p1, 0.266773, -0.25982, 0; p2, -0.266773, 0.25982, 0; p3, 0, 0, 0
t11.551; p1, 0.266181, -0.260568, 0; p2, -0.266181, 0.260568, 0; p3, 0, 0, 0
t11.552; p1, 0.265587, -0.261315, 0; p2, -0.265587, 0.261315, 0; p3, 0, 0, 0
t11.553; p1, 0.264992, -0.262061, 0; p2, -0.264992, 0.262061, 0; p3, 0, 0, 0
t11.554; p1, 0.264395, -0.262805, 0; p2, -0.264395, 0.262805, 0; p3, 0, 0, 0
t11.555; p1, 0.263797, -0.263547, 0; p2, -0.263797, 0.263547, 0; p3, 0, 0, 0
t11.556; p1, 0.263197, -0.264288, 0; p2, -0.263197, 0.264288, 0; p3, 0, 0, 0
t11.557; p1, 0.262596, -0.265028, 0; p2, -0.262596, 0.265028, 0; p3, 0, 0, 0
t11.558; p1, 0.261993, -0.265765, 0; p2, -0.261993, 0.265765, 0; p3, 0, 0, 0
t11.559; p1, 0.261388, -0.266502, 0; p2, -0.261388, 0.266502, 0; p3, 0, 0, 0
t11.56; p1, 0.260782, -0.267237, 0; p2, -0.260782, 0.267237, 0; p3, 0, 0, 0
t11.561; p1, 0.260175, -0.26797, 0; p2, -0.260175, 0.26797, 0; p3, 0, 0, 0
t11.562; p1, 0.259566, -0.268702, 0; p2, -0.259566, 0.268702, 0; p3, 0, 0, 0
t11.563; p1, 0.258956, -0.269432, 0; p2, -0.258956, 0.269432, 0; p3, 0, 0, 0
t11.564; p1, 0.258344, -0.27016, 0; p2, -0.258344, 0.27016, 0; p3, 0, 0, 0
t11.565; p1, 0.25773, -0.270888, 0; p2, -0.25773, 0.270888, 0; p3, 0, 0, 0
t11.566; p1, 0.257115, -0.271613, 0; p2, -0.257115, 0.271613, 0; p3, 0, 0, 0
t11.567; p1, 0.256499, -0.272337, 0; p2, -0.256499, 0.272337, 0; p3, 0, 0, 0
t11.568; p1, 0.255881, -0.273059, 0; p2, -0.255881, 0.273059, 0; p3, 0, 0, 0
t11.569; p1, 0.255262, -0.27378, 0; p2, -0.255262, 0.27378, 0; p3, 0, 0, 0
t11.57; p1, 0.254641, -0.2745, 0; p2, -0.254641, 0.2745, 0; p3, 0, 0, 0
t11.571; p1, 0.254019, -0.275217, 0; p2, -0.254019, 0.275217, 0; p3, 0, 0, 0
t11.572; p1, 0.253395, -0.275933, 0; p2, -0.253395, 0.275933, 0; p3, 0, 0, 0
t11.573; p1, 0.25277, -0.276648, 0; p2, -0.25277, 0.276648, 0; p3, 0, 0, 0
t11.574; p1, 0.252144, -0.277361, 0; p2, -0.252144, 0.277361, 0; p3, 0, 0, 0
t11.575; p1, 0.251516, -0.278072, 0; p2, -0.251516, 0.278072, 0; p3, 0, 0, 0
t11.576; p1, 0.250886, -0.278782, 0; p2, -0.250886, 0.278782, 0; p3, 0, 0, 0
t11.577; p1, 0.250255, -0.27949, 0; p2, -0.250255, 0.27949, 0; p3, 0, 0, 0
t11.578; p1, 0.249623, -0.280197, 0; p2, -0.249623, 0.280197, 0; p3, 0, 0, 0
t11.579; p1, 0.248989, -0.280902, 0; p2, -0.248989, 0.280902, 0; p3, 0, 0, 0
t11.58; p1, 0.248354, -0.281606, 0; p2, -0.248354, 0.281606, 0; p3, 0, 0, 0
t11.581; p1, 0.247718, -0.282308, 0; p2, -0.247718, 0.282308, 0; p3, 0, 0, 0
t11.582; p1, 0.24708, -0.283008, 0; p2, -0.24708, 0.283008, 0; p3, 0, 0, 0
t11.583; p1, 0.246441, -0.283706, 0; p2, -0.246441, 0.283706, 0; p3, 0, 0, 0
t11.584; p1, 0.2458, -0.284404, 0; p2, -0.2458, 0.284404, 0; p3, 0, 0, 0
t11.585; p1, 0.245158, -0.285099, 0; p2, -0.245158, 0.285099, 0; p3, 0, 0, 0
t11.586; p1, 0.244514, -0.285793, 0; p2, -0.244514, 0.285793, 0; p3, 0, 0, 0
t11.587; p1, 0.24387, -0.286485, 0; p2, -0.24387, 0.286485, 0; p3, 0, 0, 0
t11.588; p1, 0.243223, -0.287176, 0; p2, -0.243223, 0.287176, 0; p3, 0, 0, 0
t11.589; p1, 0.242576, -0.287865, 0; p2, -0.242576, 0.287865, 0; p3, 0, 0, 0
t11.59; p1, 0.241927, -0.288552, 0; p2, -0.241927, 0.288552, 0; p3, 0, 0, 0
t11.591; p1, 0.241277, -0.289238, 0; p2, -0.241277, 0.289238, 0; p3, 0, 0, 0
t11.592; p1, 0.240625, -0.289922, 0; p2, -0.240625, 0.289922, 0; p3, 0, 0, 0
t11.593; p1, 0.239972, -0.290605, 0; p2, -0.239972, 0.290605, 0; p3, 0, 0, 0
t11.594; p1, 0.239318, -0.291285, 0; p2, -0.239318, 0.291285, 0; p3, 0, 0, 0
t11.595; p1, 0.238662, -0.291965, 0; p2, -0.238662, 0.291965, 0; p3, 0, 0, 0
t11.596; p1, 0.238005, -0.292642, 0; p2, -0.238005, 0.292642, 0; p3, 0, 0, 0
t11.597; p1, 0.237346, -0.293318, 0; p2, -0.237346, 0.293318, 0; p3, 0, 0, 0
t11.598; p1, 0.236687, -0.293993, 0; p2, -0.236687, 0.293993, 0; p3, 0, 0, 0
t11.599; p1, 0.236026, -0.294665, 0; p2, -0.236026, 0.294665, 0; p3, 0, 0, 0
t11.6; p1, 0.235363, -0.295336, 0; p2, -0.235363, 0.295336, 0; p3, 0, 0, 0
t11.601; p1, 0.2347, -0.296006, 0; p2, -0.2347, 0.296006, 0; p3, 0, 0, 0
t11.602; p1, 0.234035, -0.296674, 0; p2, -0.234035, 0.296674, 0; p3, 0, 0, 0
t11.603; p1, 0.233369, -0.29734, 0; p2, -0.233369, 0.29734, 0; p3, 0, 0, 0
t11.604; p1, 0.232701, -0.298004, 0; p2, -0.232701, 0.298004, 0; p3, 0, 0, 0
t11.605; p1, 0.232032, -0.298667, 0; p2, -0.232032, 0.298667, 0; p3, 0, 0, 0
t11.606; p1, 0.231362, -0.299328, 0; p2, -0.231362, 0.299328, 0; p3, 0, 0, 0
t11.607; p1, 0.230691, -0.299988, 0; p2, -0.230691, 0.299988, 0; p3, 0, 0, 0
t11.608; p1, 0.230018, -0.300646, 0; p2, -0.230018, 0.300646, 0; p3, 0, 0, 0
t11.609; p1, 0.229344, -0.301302, 0; p2, -0.229344, 0.301302, 0; p3, 0, 0, 0
t11.61; p1, 0.228669, -0.301956, 0; p2, -0.228669, 0.301956, 0; p3, 0, 0, 0
t11.611; p1, 0.227992, -0.302609, 0; p2, -0.227992, 0.302609, 0; p3, 0, 0, 0
t11.612; p1, 0.227315, -0.30326, 0; p2, -0.227315, 0.30326, 0; p3, 0, 0, 0
t11.613; p1, 0.226636, -0.30391, 0; p2, -0.226636, 0.30391, 0; p3, 0, 0, 0
t11.614; p1, 0.225956, -0.304558, 0; p2, -0.225956, 0.304558, 0; p3, 0, 0, 0
t11.615; p1, 0.225274, -0.305204, 0; p2, -0.225274, 0.305204, 0; p3, 0, 0, 0
t11.616; p1, 0.224591, -0.305848, 0; p2, -0.224591, 0.305848, 0; p3, 0, 0, 0
t11.617; p1, 0.223907, -0.306491, 0; p2, -0.223907, 0.306491, 0; p3, 0, 0, 0
t11.618; p1, 0.223222, -0.307132, 0; p2, -0.223222, 0.307132, 0; p3, 0, 0, 0
t11.619; p1, 0.222536, -0.307772, 0; p2, -0.222536, 0.307772, 0; p3, 0, 0, 0
t11.62; p1, 0.221848, -0.30841, 0; p2, -0.221848, 0.30841, 0; p3, 0, 0, 0
t11.621; p1, 0.221159, -0.309046, 0; p2, -0.221159, 0.309046, 0; p3, 0, 0, 0
t11.622; p1, 0.220469, -0.30968, 0; p2, -0.220469, 0.30968, 0; p3, 0, 0, 0
t11.623; p1, 0.219778, -0.310313, 0; p2, -0.219778, 0.310313, 0; p3, 0, 0, 0
t11.624; p1, 0.219086, -0.310944, 0; p2, -0.219086, 0.310944, 0; p3, 0, 0, 0
t11.625; p1, 0.218392, -0.311573, 0; p2, -0.218392, 0.311573, 0; p3, 0, 0, 0
t11.626; p1, 0.217697, -0.312201, 0; p2, -0.217697, 0.312201, 0; p3, 0, 0, 0
t11.627; p1, 0.217001, -0.312827, 0; p2, -0.217001, 0.312827, 0; p3, 0, 0, 0
t11.628; p1, 0.216304, -0.313451, 0; p2, -0.216304, 0.313451, 0; p3, 0, 0, 0
t11.629; p1, 0.215606, -0.314073, 0; p2, -0.215606, 0.314073, 0; p3, 0, 0, 0
t11.63; p1, 0.214906, -0.314694, 0; p2, -0.214906, 0.314694, 0; p3, 0, 0, 0
t11.631; p1, 0.214205, -0.315313, 0; p2, -0.214205, 0.315313, 0; p3, 0, 0, 0
t11.632; p1, 0.213504, -0.315931, 0; p2, -0.213504, 0.315931, 0; p3, 0, 0, 0
t11.633; p1, 0.212801, -0.316546, 0; p2, -0.212801, 0.316546, 0; p3, 0, 0, 0
t11.634; p1, 0.212096, -0.31716, 0; p2, -0.212096, 0.31716, 0; p3, 0, 0, 0
t11.635; p1, 0.211391, -0.317772, 0; p2, -0.211391, 0.317772, 0; p3, 0, 0, 0
t11.636; p1, 0.210685, -0.318383, 0; p2, -0.210685, 0.318383, 0; p3, 0, 0, 0
t11.637; p1, 0.209977, -0.318992, 0; p2, -0.209977, 0.318992, 0; p3, 0, 0, 0
t11.638; p1, 0.209268, -0.319599, 0; p2, -0.209268, 0.319599, 0; p3, 0, 0, 0
t11.639; p1, 0.208558, -0.320204, 0; p2, -0.208558, 0.320204, 0; p3, 0, 0, 0
t11.64; p1, 0.207847, -0.320808, 0; p2, -0.207847, 0.320808, 0; p3, 0, 0, 0
t11.641; p1, 0.207135, -0.32141, 0; p2, -0.207135, 0.32141, 0; p3, 0, 0, 0
t11.642; p1, 0.206422, -0.32201, 0; p2, -0.206422, 0.32201, 0; p3, 0, 0, 0
t11.643; p1, 0.205708, -0.322609, 0; p2, -0.205708, 0.322609, 0; p3, 0, 0, 0
t11.644; p1, 0.204992, -0.323205, 0; p2, -0.204992, 0.323205, 0; p3, 0, 0, 0
t11.645; p1, 0.204276, -0.3238, 0; p2, -0.204276, 0.3238, 0; p3, 0, 0, 0
t11.646; p1, 0.203558, -0.324394, 0; p2, -0.203558, 0.324394, 0; p3, 0, 0, 0
t11.647; p1, 0.20284, -0.324985, 0; p2, -0.20284, 0.324985, 0; p3, 0, 0, 0
t11.648; p1, 0.20212, -0.325575, 0; p2, -0.20212, 0.325575, 0; p3, 0, 0, 0
t11.649; p1, 0.201399, -0.326163, 0; p2, -0.201399, 0.326163, 0; p3, 0, 0, 0
t11.65; p1, 0.200677, -0.326749, 0; p2, -0.200677, 0.326749, 0; p3, 0, 0, 0
t11.651; p1, 0.199954, -0.327334, 0; p2, -0.199954, 0.327334, 0; p3, 0, 0, 0
t11.652; p1, 0.19923, -0.327917, 0; p2, -0.19923, 0.327917, 0; p3, 0, 0, 0
t11.653; p1, 0.198505, -0.328498, 0; p2, -0.198505, 0.328498, 0; p3, 0, 0, 0
t11.654; p1, 0.197779, -0.329078, 0; p2, -0.197779, 0.329078, 0; p3, 0, 0, 0
t11.655; p1, 0.197052, -0.329655, 0; p2, -0.197052, 0.329655, 0; p3, 0, 0, 0
t11.656; p1, 0.196323, -0.330231, 0; p2, -0.196323, 0.330231, 0; p3, 0, 0, 0
t11.657; p1, 0.195594, -0.330805, 0; p2, -0.195594, 0.330805, 0; p3, 0, 0, 0
t11.658; p1, 0.194864, -0.331378, 0; p2, -0.194864, 0.331378, 0; p3, 0, 0, 0
t11.659; p1, 0.194133, -0.331948, 0; p2, -0.194133, 0.331948, 0; p3, 0, 0, 0
t11.66; p1, 0.1934, -0.332517, 0; p2, -0.1934, 0.332517, 0; p3, 0, 0, 0
t11.661; p1, 0.192667, -0.333084, 0; p2, -0.192667, 0.333084, 0; p3, 0, 0, 0
t11.662; p1, 0.191932, -0.33365, 0; p2, -0.191932, 0.33365, 0; p3, 0, 0, 0
t11.663; p1, 0.191197, -0.334213, 0; p2, -0.191197, 0.334213, 0; p3, 0, 0, 0
t11.664; p1, 0.190461, -0.334775, 0; p2, -0.190461, 0.334775, 0; p3, 0, 0, 0
t11.665; p1, 0.189723, -0.335335, 0; p2, -0.189723, 0.335335, 0; p3, 0, 0, 0
t11.666; p1, 0.188985, -0.335894, 0; p2, -0.188985, 0.335894, 0; p3, 0, 0, 0
t11.667; p1, 0.188245, -0.33645, 0; p2, -0.188245, 0.33645, 0; p3, 0, 0, 0
t11.668; p1, 0.187505, -0.337005, 0; p2, -0.187505, 0.337005, 0; p3, 0, 0, 0
t11.669; p1, 0.186764, -0.337558, 0; p2, -0.186764, 0.337558, 0; p3, 0, 0, 0
t11.67; p1, 0.186021, -0.33811, 0; p2, -0.186021, 0.33811, 0; p3, 0, 0, 0
t11.671; p1, 0.185278, -0.338659, 0; p2, -0.185278, 0.338659, 0; p3, 0, 0, 0
t11.672; p1, 0.184534, -0.339207, 0; p2, -0.184534, 0.339207, 0; p3, 0, 0, 0
t11.673; p1, 0.183788, -0.339753, 0; p2, -0.183788, 0.339753, 0; p3, 0, 0, 0
t11.674; p1, 0.183042, -0.340297, 0; p2, -0.183042, 0.340297, 0; p3, 0, 0, 0
t11.675; p1, 0.182295, -0.34084, 0; p2, -0.182295, 0.34084, 0; p3, 0, 0, 0
t11.676; p1, 0.181547, -0.341381, 0; p2, -0.181547, 0.341381, 0; p3, 0, 0, 0
t11.677; p1, 0.180798, -0.34192, 0; p2, -0.180798, 0.34192, 0; p3, 0, 0, 0
t11.678; p1, 0.180048, -0.342457, 0; p2, -0.180048, 0.342457, 0; p3, 0, 0, 0
t11.679; p1, 0.179297, -0.342992, 0; p2, -0.179297, 0.342992, 0; p3, 0, 0, 0
t11.68; p1, 0.178545, -0.343526, 0; p2, -0.178545, 0.343526, 0; p3, 0, 0, 0
t11.681; p1, 0.177792, -0.344058, 0; p2, -0.177792, 0.344058, 0; p3, 0, 0, 0
t11.682; p1, 0.177039, -0.344588, 0; p2, -0.177039, 0.344588, 0; p3, 0, 0, 0
t11.683; p1, 0.176284, -0.345116, 0; p2, -0.176284, 0.345116, 0; p3, 0, 0, 0
t11.684; p1, 0.175529, -0.345642, 0; p2, -0.175529, 0.345642, 0; p3, 0, 0, 0
t11.685; p1, 0.174772, -0.346167, 0; p2, -0.174772, 0.346167, 0; p3, 0, 0, 0
